"證券代號","證券名稱.x","收盤價.x","證券名稱.y","收盤價.y"
"3021","鴻名",15.75,"鴻名",13.2
"3022","威強電",53.9,"威強電",43.6
"3023","信邦",124.5,"信邦",146
"3024","憶聲",8.24,"憶聲",9.74
"3025","星通",22.9,"星通",18.6
"3026","禾伸堂",117.5,"禾伸堂",125
"3027","盛達",8.4,"盛達",8.68
"3028","增你強",21.1,"增你強",19.3
"3029","零壹",30.2,"零壹",37.65
"3030","德律",54,"德律",54.2
"3031","佰鴻",16.85,"佰鴻",15.05
"3032","偉訓",28.45,"偉訓",30.65
"3033","威健",17.8,"威健",15.7
"3034","聯詠",222.5,"聯詠",222
"3035","智原",59.2,"智原",41
"3036","文曄",42.4,"文曄",38.9
"3037","欣興",43.6,"欣興",45.95
"3038","全台",17.65,"全台",20.8
"3041","揚智",18,"揚智",20.9
"3042","晶技",48.25,"晶技",59.2
"3043","科風",1.8,"科風",1.93
"3044","健鼎",128.5,"健鼎",134.5
"3045","台灣大",112.5,"台灣大",107
"3046","建碁",16.55,"建碁",19.2
"3047","訊舟",10.8,"訊舟",9.22
"3048","益登",19.5,"益登",17.95
"3049","和鑫",13.75,"和鑫",10.1
"3050","鈺德",11.85,"鈺德",9.5
"3051","力特",3.16,"力特",3.87
"3054","立萬利",28.55,"立萬利",23.85
"3055","蔚華科",30.6,"蔚華科",27.85
"3057","喬鼎",7.62,"喬鼎",4.93
"3058","立德",7.18,"立德",6.68
"3059","華晶科",24.2,"華晶科",25.6
"3060","銘異",13.6,"銘異",13.4
"3062","建漢",18.35,"建漢",14.6
"3090","日電貿",52.7,"日電貿",53.1
"3094","聯傑",18.6,"聯傑",19.9
"3130","一零四",160,"一零四",161
"3149","正達",9.33,"正達",7.24
"3189","景碩",51.5,"景碩",65.5
"3209","全科",20.85,"全科",20.7
"3229","晟鈦",13.7,"晟鈦",11.6
"3231","緯創",28.4,"緯創",34.65
"3257","虹冠電",58.7,"虹冠電",83.1
"3296","勝德",14.8,"勝德",13
"3305","昇貿",25,"昇貿",20.8
"3308","聯德",5.95,"聯德",5.9
"3311","閎暉",26.3,"閎暉",29.2
"3312","弘憶股",16.4,"弘憶股",15.5
"3321","同泰",15.75,"同泰",12.4
"3338","泰碩",96,"泰碩",89
"3356","奇偶",29.9,"奇偶",22.65
"3376","新日興",139,"新日興",144
"3380","明泰",23.5,"明泰",26.95
"3383","新世紀",4.4,"新世紀",4.14
"3406","玉晶光",605,"玉晶光",627
"3413","京鼎",184.5,"京鼎",173
"3416","融程電",55.3,"融程電",58.1
"3419","譁裕",18.2,"譁裕",14.35
"3432","台端",13.3,"台端",12.95
"3437","榮創",18.05,"榮創",18
"3443","創意",245,"創意",217
"3450","聯鈞",67.7,"聯鈞",71.5
"3454","晶睿",92.6,"晶睿",75
"3481","群創",8.29,"群創",7.88
"3494","誠研",5,"誠研",3.51
"3501","維熹",50.4,"維熹",46.2
"3504","揚明光",83.8,"揚明光",66.1
"3515","華擎",77.8,"華擎",139
"3518","柏騰",39,"柏騰",35
"3528","安馳",38.05,"安馳",39
"3530","晶相光",104,"晶相光",80.4
"3532","台勝科",119,"台勝科",132
"3533","嘉澤",326.5,"嘉澤",386
"3535","晶彩科",22.75,"晶彩科",16.45
"3536","誠創",4,"誠創",2.9
"3545","敦泰",24,"敦泰",32.75
"3550","聯穎",14.55,"聯穎",12.9
"3563","牧德",396.5,"牧德",313.5
"3576","聯合再生",7.7,"聯合再生",6.42
"3583","辛耘",66.3,"辛耘",48.3
"3588","通嘉",32.05,"通嘉",32.5
"3591","艾笛森",13.3,"艾笛森",11.4
"3593","力銘",8.7,"力銘",10.4
"3596","智易",94,"智易",81.7
"3605","宏致",30.9,"宏致",28.5
"3607","谷崧",16.95,"谷崧",12.35
"3617","碩天",113,"碩天",83.1
"3622","洋華",22.2,"洋華",19.85
"3645","達邁",52.5,"達邁",37.95
"3653","健策",235.5,"健策",279.5
"3661","世芯-KY",241,"世芯-KY",395.5
"3665","貿聯-KY",227.5,"貿聯-KY",211.5
"3669","圓展",16.4,"圓展",32.7
"3673","TPK-KY",57.7,"TPK-KY",46
"3679","新至陞",69.6,"新至陞",63.7
"3682","亞太電",7.35,"亞太電",7.09
"3686","達能",4.12,"達能",4
"3694","海華",18,"海華",18.1
"3698","隆達",18.25,"隆達",20.45
"3701","大眾控",14,"大眾控",13.65
"3702","大聯大",38.95,"大聯大",38.8
"3702A","大聯大甲特",51.7,"大聯大甲特",50
"3704","合勤控",20.45,"合勤控",16.2
"3706","神達",28.95,"神達",31.45
"3711","日月光投控",82.8,"日月光投控",68.2
"3712","永崴投控",20.85,"永崴投控",24.8
"4545","銘鈺",25.4,"銘鈺",31
"4904","遠傳",72.3,"遠傳",66.4
"4906","正文",25.65,"正文",22.55
"4912","聯德控股-KY",110,"聯德控股-KY",87.2
"4915","致伸",64.1,"致伸",49.95
"4916","事欣科",34.3,"事欣科",28.05
"4919","新唐",48.4,"新唐",39.2
"4927","泰鼎-KY",47.25,"泰鼎-KY",73.6
"4934","太極",7,"太極",17.05
"4935","茂林-KY",128,"茂林-KY",128
"4938","和碩",68.6,"和碩",68.8
"4942","嘉彰",41.45,"嘉彰",36.55
"4943","康控-KY",174.5,"康控-KY",116.5
"4952","凌通",33.8,"凌通",30.15
"4956","光鋐",14.35,"光鋐",19.8
"4958","臻鼎-KY",146.5,"臻鼎-KY",137
"4960","誠美材",7.31,"誠美材",7.93
"4961","天鈺",37.65,"天鈺",29
"4967","十銓",31.2,"十銓",38.95
"4968","立積",187,"立積",172
"4976","佳凌",28.9,"佳凌",23.4
"4977","眾達-KY",104.5,"眾達-KY",121
"4989","榮科",24.4,"榮科",19.35
"4994","傳奇",87.2,"傳奇",68.7
"4999","鑫禾",43.85,"鑫禾",43.5
"5203","訊連",113.5,"訊連",109
"5215","科嘉-KY",63.5,"科嘉-KY",106.5
"5225","東科-KY",55.8,"東科-KY",25.45
"5234","達興材料",91.3,"達興材料",90.2
"5243","乙盛-KY",37.5,"乙盛-KY",32.3
"5258","虹堡",29.95,"虹堡",23.05
"5264","鎧勝-KY",47.55,"鎧勝-KY",62.4
"5269","祥碩",639,"祥碩",1365
"5285","界霖",71.3,"界霖",45.5
"5305","敦南",39.55,"敦南",41.4
"5388","中磊",78.2,"中磊",77.1
"5434","崇越",106.5,"崇越",107.5
"5469","瀚宇博",43.95,"瀚宇博",39.1
"5471","松翰",33.5,"松翰",53.8
"5484","慧友",8.75,"慧友",8.7
"6108","競國",26.05,"競國",22.75
"6112","聚碩",34.6,"聚碩",41.55
"6115","鎰勝",43.7,"鎰勝",43.95
"6116","彩晶",8.09,"彩晶",6.55
"6117","迎廣",13.75,"迎廣",18.7
"6120","達運",16.5,"達運",11.05
"6128","上福",30.75,"上福",29.95
"6131","鈞泰",3.6,"鈞泰",2.34
"6133","金橋",8.25,"金橋",7.39
"6136","富爾特",20,"富爾特",19.1
"6139","亞翔",32,"亞翔",27.05
"6141","柏承",21.75,"柏承",18.8
"6142","友勁",7.73,"友勁",8.97
"6152","百一",7.44,"百一",6.1
"6153","嘉聯益",36.55,"嘉聯益",32.25
"6155","鈞寶",29.05,"鈞寶",24.65
"6164","華興",7.09,"華興",6.53
"6165","捷泰",17.9,"捷泰",31.1
"6166","凌華",49.55,"凌華",76.6
"6168","宏齊",13.6,"宏齊",13.1
"6172","互億",18.85,"互億",22.65
"6176","瑞儀",121.5,"瑞儀",119
"6183","關貿",37.05,"關貿",50.9
"6189","豐藝",34.9,"豐藝",34.15
"6191","精成科",17.15,"精成科",14.25
"6192","巨路",80.5,"巨路",67.6
"6196","帆宣",86.3,"帆宣",81.1
"6197","佳必琪",33,"佳必琪",34.05
"6201","亞弘電",35.55,"亞弘電",34.4
"6202","盛群",69.4,"盛群",65.2
"6205","詮欣",26.1,"詮欣",37.8
"6206","飛捷",72.3,"飛捷",70.7
"6209","今國光",31.65,"今國光",32.2
"6213","聯茂",136.5,"聯茂",147
"6214","精誠",75.4,"精誠",78.5
"6215","和椿",15.6,"和椿",14.95
"6216","居易",28.15,"居易",27.7
"6224","聚鼎",67.2,"聚鼎",65.6
"6225","天瀚",1.88,"天瀚",2.98
"6226","光鼎",8.33,"光鼎",9.06
"6230","超眾",283,"超眾",277.5
"6235","華孚",13.45,"華孚",13.5
"6239","力成",100,"力成",101.5
"6243","迅杰",11,"迅杰",9.04
"6251","定穎",17.1,"定穎",17.9
"6257","矽格",37.2,"矽格",38.15
"6269","台郡",124,"台郡",120
"6271","同欣電",155,"同欣電",151.5
"6277","宏正",86.7,"宏正",90.8
"6278","台表科",118,"台表科",124.5
"6281","全國電",68.6,"全國電",71.8
"6282","康舒",24.4,"康舒",20.7
