"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"3504","揚明光","1,467,100","1,159","98,232,070","65.70","68.20","65.10","66.10","+","0.40","66.00","25","66.10","10","",
"3515","華擎","2,197,110","1,873","305,871,900","140.50","142.00","138.00","139.00","-","1.50","138.50","124","139.00","6","24.43",
"3518","柏騰","403,080","243","14,262,050","35.50","36.00","34.80","35.00","-","0.50","35.00","1","35.05","3","",
"3528","安馳","27,340","22","1,065,460","38.95","39.10","38.90","39.00"," ","0.00","39.00","1","39.05","5","14.55",
"3530","晶相光","579,200","452","46,669,300","80.10","81.10","80.10","80.40","+","0.70","80.40","7","80.50","2","31.53",
"3532","台勝科","6,726,508","3,835","906,316,596","134.50","139.50","132.00","132.00","-","3.00","132.00","165","132.50","1","34.65",
"3533","嘉澤","1,457,876","1,229","566,447,828","389.00","394.00","386.00","386.00","-","3.00","386.00","22","387.00","1","18.39",
"3535","晶彩科","2,561,468","1,089","42,684,897","16.95","17.00","16.20","16.45"," ","0.00","16.35","2","16.45","12","48.38",
"3536","誠創","19,837","7","57,926","2.95","2.95","2.90","2.90","-","0.04","2.90","10","2.98","1","",
"3543","州巧","131,000","68","2,259,800","17.30","17.30","17.20","17.25","-","0.05","17.25","9","17.30","32","14.02",
"3545","敦泰","8,455,444","3,576","278,404,044","32.65","33.30","32.60","32.75","+","0.35","32.75","18","32.80","84","131.00",
"3550","聯穎","46,000","27","591,950","12.90","12.90","12.85","12.90"," ","0.00","12.85","1","12.90","4","26.88",
"3563","牧德","745,908","732","236,745,020","317.50","322.00","313.50","313.50","-","4.00","313.50","23","314.00","5","16.35",
"3576","聯合再生","22,160,422","4,484","143,058,108","6.20","6.69","6.16","6.42","+","0.26","6.42","76","6.43","9","",
"3583","辛耘","182,022","133","8,798,517","48.50","48.60","48.20","48.30","-","0.10","48.25","12","48.30","6","16.83",
"3588","通嘉","803,215","437","26,599,050","33.20","33.60","32.50","32.50","-","0.30","32.45","33","32.50","6","57.02",
"3591","艾笛森","286,701","131","3,296,455","11.80","11.80","11.20","11.40","-","0.40","11.40","38","11.45","4","",
"3593","力銘","211,406","97","2,188,488","10.50","10.60","10.20","10.40","-","0.05","10.40","2","10.45","11","",
"3596","智易","2,243,040","1,151","185,201,367","83.30","83.70","81.70","81.70","-","1.20","81.60","68","81.90","5","14.16",
"3605","宏致","7,837,378","3,104","225,657,194","28.00","29.95","27.45","28.50","+","0.55","28.45","27","28.50","2","13.70",
"3607","谷崧","279,001","130","3,425,862","12.10","12.40","12.10","12.35","+","0.25","12.30","10","12.35","5","",
"3617","碩天","149,020","103","12,371,500","82.80","83.30","82.50","83.10","+","0.50","83.00","35","83.20","5","13.90",
"3622","洋華","211,696","104","4,227,320","20.25","20.25","19.85","19.85","-","0.20","19.85","7","19.95","1","21.34",
"3645","達邁","282,928","202","10,780,664","38.45","38.50","37.85","37.95","-","0.50","37.95","2","38.00","4","35.80",
"3653","健策","1,493,569","1,241","420,431,100","285.00","285.00","278.50","279.50","-","4.50","279.00","11","279.50","5","38.71",
"3661","世芯-KY","6,013,541","4,916","2,361,527,236","388.00","398.50","386.00","395.50","+","9.50","395.00","2","395.50","12","47.25",
"3665","貿聯-KY","1,703,946","1,237","363,259,106","211.00","216.00","211.00","211.50","+","1.50","211.50","4","212.00","7","15.78",
"3669","圓展","8,595,868","4,733","300,952,507","37.65","37.65","32.70","32.70","-","1.55","32.70","16","32.80","11","21.80",
"3673","TPK-KY","4,620,469","2,446","211,590,624","45.10","46.15","45.00","46.00","+","0.90","45.95","1","46.00","110","83.64",
"3679","新至陞","43,371","40","2,756,347","64.30","64.30","63.40","63.70"," ","0.00","63.40","1","63.80","5","9.10",
"3682","亞太電","7,453,894","2,041","53,464,529","7.30","7.30","7.09","7.09","-","0.18","7.09","72","7.10","2","",
"3686","達能","316,274","120","1,265,748","3.96","4.05","3.96","4.00","+","0.01","4.00","3","4.01","11","",
"3694","海華","577,358","292","10,546,858","17.90","18.80","17.70","18.10","+","0.50","18.10","7","18.30","3","",
"3698","隆達","40,768,638","11,538","859,814,978","21.35","21.35","20.15","20.45","X","0.00","20.40","69","20.45","107","",
"3701","大眾控","2,998","16","40,717","13.65","13.65","13.65","13.65","+","0.10","13.30","5","13.60","20","",
"3702","大聯大","9,616,235","2,000","373,730,303","39.05","39.10","38.80","38.80","-","0.20","38.80","49","38.85","15","10.72",
"3702A","大聯大甲特","168,500","56","8,424,225","49.95","50.00","49.95","50.00","+","0.05","49.95","24","50.10","56","",
"3704","合勤控","2,151,211","947","35,467,016","16.50","16.75","16.20","16.20","-","0.30","16.15","76","16.20","70","",
"3706","神達","14,669,145","2,836","461,148,444","31.60","31.60","31.35","31.45"," ","0.00","31.45","211","31.50","166","11.07",
"3711","日月光投控","13,415,108","3,801","913,339,781","67.30","68.50","67.10","68.20","+","0.70","68.00","2","68.30","237","15.54",
"3712","永崴投控","7,373,447","3,341","181,838,488","24.05","25.30","23.50","24.80","+","0.70","24.75","18","24.80","7","",
"4545","銘鈺","518,000","290","16,201,250","30.90","32.15","30.50","31.00","+","1.05","30.95","1","31.00","4","155.00",
"4904","遠傳","5,482,779","1,485","364,916,548","67.00","67.20","66.40","66.40","-","0.30","66.40","115","66.70","24","24.96",
"4906","正文","8,503,507","2,097","191,262,427","22.10","22.70","22.00","22.55","+","0.35","22.55","34","22.60","74","",
"4912","聯德控股-KY","60,467","52","5,292,121","88.00","88.60","86.50","87.20","-","1.80","87.20","5","87.50","1","16.12",
"4915","致伸","5,923,190","3,491","298,238,345","51.30","51.60","49.85","49.95","-","0.95","49.90","40","49.95","6","10.91",
"4916","事欣科","260,700","170","7,337,609","27.95","28.30","27.95","28.05","+","0.15","28.05","12","28.10","3","7.23",
"4919","新唐","1,437,619","908","56,109,691","38.55","39.45","38.50","39.20","+","0.85","39.15","6","39.20","11","20.96",
"4927","泰鼎-KY","16,020,761","9,435","1,160,872,898","69.70","74.10","69.70","73.60","+","4.20","73.50","20","73.60","50","16.32",
"4934","太極","3,695,459","1,383","63,456,568","16.80","17.50","16.70","17.05","+","0.45","17.05","69","17.10","35","",
"4935","茂林-KY","1,715,475","1,347","223,030,750","132.00","132.50","128.00","128.00","-","4.00","128.00","124","128.50","1","39.88",
"4938","和碩","17,805,737","6,429","1,224,977,984","68.60","69.30","68.20","68.80","-","0.10","68.80","5","68.90","3","9.20",
"4942","嘉彰","311,200","177","11,386,360","36.55","36.75","36.45","36.55","+","0.15","36.55","3","36.60","2","8.87",
"4943","康控-KY","1,247,908","1,024","145,666,777","116.00","118.00","115.00","116.50"," ","0.00","116.50","36","117.00","11","32.45",
"4952","凌通","206,003","123","6,198,893","30.00","30.20","30.00","30.15","+","0.20","30.10","1","30.15","3","15.54",
"4956","光鋐","7,061,043","3,276","141,736,553","20.50","20.60","19.65","19.80","-","1.10","19.80","9","19.85","50","",
"4958","臻鼎-KY","8,918,126","4,138","1,208,499,636","134.50","137.50","133.00","137.00","+","2.50","136.50","104","137.00","110","13.47",
"4960","誠美材","6,765,050","1,863","54,594,683","8.24","8.34","7.90","7.93","-","0.30","7.93","4","7.94","9","",
"4961","天鈺","981,363","574","28,518,772","28.95","29.35","28.75","29.00","+","0.30","29.00","14","29.05","15","16.48",
"4967","十銓","1,313,261","662","51,309,054","39.10","39.25","38.90","38.95","-","0.15","38.95","31","39.00","1","22.01",
"4968","立積","2,466,501","1,707","422,014,172","173.00","173.00","170.00","172.00"," ","0.00","171.00","14","172.00","81","43.65",
"4976","佳凌","1,609,356","943","37,744,193","23.70","24.00","23.00","23.40","-","0.30","23.30","14","23.40","1","",
"4977","眾達-KY","1,428,984","1,061","175,354,548","125.50","126.50","121.00","121.00","-","3.50","121.00","51","121.50","8","32.35",
"4989","榮科","92,000","44","1,786,450","19.65","19.65","19.35","19.35","-","0.10","19.30","13","19.40","6","101.84",
"4994","傳奇","441,450","366","30,135,091","66.60","69.20","66.60","68.70","+","2.00","68.60","4","68.80","11","17.75",
"4999","鑫禾","92,001","60","4,002,593","43.55","43.70","43.35","43.50"," ","0.00","43.50","2","43.55","44","14.31",
"5203","訊連","272,355","199","29,731,227","110.00","110.50","108.00","109.00","-","1.00","109.00","3","109.50","2","23.09",
"5215","科嘉-KY","3,918,209","2,714","413,945,654","103.00","108.00","102.00","106.50","+","3.50","106.00","14","106.50","8","22.76",
"5225","東科-KY","165,300","89","4,224,450","25.85","25.85","25.45","25.45"," ","0.00","25.45","8","25.50","6","66.97",
"5234","達興材料","116,100","107","10,490,189","90.20","90.80","89.40","90.20","+","0.40","90.20","1","90.30","2","13.81",
"5243","乙盛-KY","317,104","179","10,256,908","32.30","32.65","32.20","32.30"," ","0.00","32.25","17","32.30","2","10.80",
"5258","虹堡","472,000","276","11,011,500","23.50","24.20","22.95","23.05","+","0.70","23.05","6","23.10","2","10.67",
"5264","鎧勝-KY","12,079,082","4,144","754,175,006","64.00","64.10","61.60","62.40","-","1.90","62.30","1","62.40","66","",
"5269","祥碩","1,516,568","839","2,110,411,680","1,405.00","1,445.00","1,365.00","1,365.00","-","55.00","1,360.00","40","1,385.00","14","69.01",
"5285","界霖","91,100","76","4,154,000","46.15","46.15","45.30","45.50","-","0.15","45.45","2","45.50","20","24.86",
"5305","敦南","560,814","161","23,234,715","41.50","41.55","41.40","41.40","-","0.10","41.40","674","41.45","2","5.04",
"5388","中磊","3,977,857","2,068","308,780,874","78.00","78.30","77.10","77.10","-","0.60","77.10","28","77.30","3","21.07",
"5434","崇越","922,400","610","99,676,495","108.50","109.00","107.50","107.50","-","1.00","107.50","142","108.50","9","10.90",
"5469","瀚宇博","7,215,813","3,311","279,683,175","38.40","39.20","38.15","39.10","+","1.05","39.10","158","39.15","290","7.16",
"5471","松翰","7,196,908","3,540","385,508,175","53.50","54.20","52.60","53.80","+","0.70","53.70","55","53.80","15","20.30",
"5484","慧友","107,040","44","936,213","8.44","9.10","8.44","8.70","+","0.20","8.56","468","8.85","1","",
"6108","競國","298,000","166","6,778,900","22.95","22.95","22.60","22.75"," ","0.00","22.70","3","22.75","13","22.98",
"6112","聚碩","1,244,039","901","51,774,759","40.95","41.95","40.95","41.55","+","0.60","41.55","6","41.65","7","18.55",
"6115","鎰勝","31,408","31","1,381,070","44.00","44.00","43.90","43.95","+","0.10","43.90","10","44.00","14","15.64",
"6116","彩晶","25,377,320","4,103","168,708,541","6.64","6.75","6.55","6.55","-","0.06","6.55","603","6.56","5","46.79",
"6117","迎廣","294,050","154","5,582,240","18.95","19.35","18.70","18.70","-","0.15","18.70","19","18.80","1","",
"6120","達運","2,418,025","1,030","26,683,675","11.05","11.30","10.85","11.05","+","0.10","11.00","5","11.05","4","",
"6128","上福","175,289","65","5,229,590","29.85","30.00","29.75","29.95","+","0.10","29.95","2","30.00","15","12.97",
"6131","鈞泰","16,249","8","37,492","2.30","2.34","2.30","2.34","-","0.01","2.34","7","2.35","9","",
"6133","金橋","29,000","17","215,510","7.40","7.49","7.34","7.39","+","0.04","7.34","3","7.41","1","",
"6136","富爾特","219,686","117","4,186,585","19.05","19.15","19.00","19.10","+","0.05","19.10","7","19.15","3","28.94",
"6139","亞翔","469,589","254","12,766,053","27.30","27.40","27.05","27.05","-","0.20","27.05","5","27.10","1","14.94",
"6141","柏承","2,280,030","957","42,435,813","18.30","18.90","18.15","18.80","+","0.70","18.75","2","18.80","54","4.85",
"6142","友勁","909,712","304","8,191,420","9.00","9.10","8.95","8.97","-","0.07","8.97","2","9.00","39","",
"6152","百一","451,018","170","2,746,718","6.00","6.19","5.90","6.10","+","0.23","6.10","6","6.12","4","21.03",
"6153","嘉聯益","35,060,633","15,889","1,109,780,216","31.00","32.40","30.65","32.25","+","1.95","32.25","5","32.30","139","806.25",
"6155","鈞寶","377,479","261","9,335,752","24.60","25.20","24.05","24.65","+","0.30","24.60","14","24.70","4","36.25",
"6164","華興","270,541","139","1,774,292","6.59","6.74","6.48","6.53","-","0.02","6.51","1","6.53","1","",
"6165","捷泰","302,640","147","9,433,251","30.80","31.65","30.80","31.10","+","0.25","31.10","5","31.15","6","",
"6166","凌華","1,715,002","1,147","126,964,146","70.80","76.60","70.50","76.60","+","6.90","76.60","888","--","0","39.69",
"6168","宏齊","1,612,167","720","21,380,721","13.70","13.75","13.05","13.10","-","0.50","13.10","2","13.15","3","",
"6172","互億","33,000","24","755,450","23.20","23.20","22.65","22.65","-","0.45","22.60","7","22.85","4","113.25",
"6176","瑞儀","7,044,302","4,127","840,796,438","118.50","120.50","118.00","119.00","+","1.50","119.00","175","119.50","158","10.73",
"6183","關貿","863,417","674","43,391,432","49.30","51.30","49.00","50.90","+","2.30","50.90","13","51.00","26","26.51",
"6189","豐藝","105,002","76","3,590,168","34.35","34.35","34.10","34.15","-","0.05","34.15","2","34.20","6","12.28",
"6191","精成科","2,895,479","1,114","41,606,800","14.35","14.50","14.25","14.25","+","0.05","14.25","137","14.30","118","7.74",
"6192","巨路","128,464","92","8,649,220","67.10","67.60","67.10","67.60","+","0.10","67.50","1","67.80","21","10.66",
"6196","帆宣","1,283,722","875","104,779,885","81.70","82.20","81.10","81.10","-","0.50","81.10","5","81.20","1","19.36",
"6197","佳必琪","584,661","339","19,770,667","33.70","34.05","33.50","34.05","+","0.40","33.90","1","34.05","30","14.61",
"6201","亞弘電","28,000","19","961,750","34.20","34.40","34.20","34.40","+","0.40","34.20","1","34.40","2","14.83",
"6202","盛群","7,001,089","1,519","458,513,774","65.50","66.70","65.20","65.20","-","0.10","65.10","127","65.20","14","17.20",
"6205","詮欣","538,572","336","20,300,071","38.40","38.45","37.10","37.80","-","0.20","37.70","1","37.80","11","26.81",
"6206","飛捷","82,999","81","5,878,127","71.00","71.00","70.70","70.70","-","0.10","70.70","3","71.00","4","13.65",
"6209","今國光","19,002,552","7,924","607,573,094","32.20","32.20","31.05","32.20","+","2.90","32.20","5,370","--","0","",
"6213","聯茂","3,159,501","2,105","469,845,147","149.50","150.50","147.00","147.00","-","2.00","147.00","125","147.50","29","20.97",
"6214","精誠","5,801,400","989","457,650,539","80.80","81.50","78.50","78.50","-","1.90","78.50","125","79.40","138","13.13",
"6215","和椿","121,005","76","1,808,125","14.95","15.00","14.85","14.95","+","0.05","14.95","4","15.00","7","22.65",
"6216","居易","49,001","28","1,360,377","27.75","27.85","27.70","27.70","+","0.05","27.70","5","27.75","1","14.97",
"6224","聚鼎","246,100","195","16,252,700","66.60","66.90","65.50","65.60","-","0.90","65.60","6","65.80","2","13.02",
"6225","天瀚","2,498","3","7,254","2.85","2.98","2.85","2.98","+","0.18","2.65","2","3.00","1","",
"6226","光鼎","19,567,725","5,611","179,451,814","8.79","9.50","8.61","9.06","+","0.41","9.06","25","9.10","24","7.68",
"6230","超眾","4,794,495","3,220","1,282,764,357","258.00","277.50","256.00","277.50","+","25.00","277.50","1,899","--","0","36.80",
"6235","華孚","489,000","169","6,669,800","13.85","13.85","13.45","13.50","-","0.15","13.50","1","13.55","17","",
"6239","力成","5,896,728","3,130","603,143,886","102.00","103.00","101.50","101.50","-","1.50","101.50","65","102.00","212","12.24",
"6243","迅杰","748,346","331","6,800,864","8.75","9.31","8.71","9.04","+","0.55","9.03","1","9.04","8","",
"6251","定穎","5,689,626","1,763","102,890,777","18.10","18.35","17.85","17.90","-","0.10","17.90","85","17.95","19","6.81",
"6257","矽格","6,192,188","2,760","237,454,775","38.30","38.65","38.05","38.15","+","0.15","38.15","47","38.40","3","11.22",
"6269","台郡","7,197,835","3,959","856,880,777","119.50","120.00","116.50","120.00","+","2.00","119.50","25","120.00","919","11.74",
"6271","同欣電","5,271,024","3,472","803,276,597","153.50","154.50","151.00","151.50","-","2.00","151.50","75","152.00","22","27.85",
"6277","宏正","118,115","88","10,753,388","91.40","91.40","90.80","90.80","-","0.60","90.80","38","91.00","1","11.93",
"6278","台表科","45,108,898","27,040","5,802,591,852","128.00","135.50","124.00","124.50","-","1.00","124.50","80","125.00","8","21.21",
"6281","全國電","76,000","48","5,467,000","72.00","72.10","71.60","71.80"," ","0.00","71.70","6","71.90","9","15.78",
"6282","康舒","3,995,663","1,221","83,237,640","20.65","21.00","20.65","20.70","+","0.05","20.65","324","20.70","133","7.31",
"6283","淳安","261,204","136","6,271,003","23.90","24.25","23.60","23.90","+","0.30","23.90","1","23.95","1","",
"6285","啟碁","4,666,434","1,219","297,225,339","63.90","64.20","63.30","63.60","+","0.10","63.50","58","63.60","17","16.96",
"6289","華上","3,109","9","5,435","1.80","1.80","1.75","1.75","-","0.05","1.75","7","1.80","2","",
"6405","悅城","23,000","13","335,350","14.95","14.95","14.45","14.65","+","0.05","14.65","1","14.70","1","",
"6409","旭隼","149,861","122","127,714,850","850.00","865.00","846.00","850.00","-","6.00","849.00","1","850.00","5","32.89",
"6412","群電","1,665,554","1,141","110,757,225","65.00","67.50","64.60","67.50","+","2.70","67.50","1,195","67.60","22","16.96",
"6414","樺漢","7,981,259","5,436","2,047,907,117","250.00","263.00","247.00","263.00","+","23.50","263.00","1,779","--","0","19.00",
"6415","矽力-KY","1,281,429","1,131","2,363,647,200","1,785.00","1,905.00","1,775.00","1,815.00","+","45.00","1,815.00","3","1,820.00","1","62.63",
"6416","瑞祺電通","10,263,596","7,103","1,525,776,420","148.00","153.50","143.50","145.00","+","0.50","145.00","6","145.50","14","31.80",
"6431","光麗-KY","101,000","55","2,399,650","23.95","24.05","23.40","23.95","-","0.05","23.90","1","23.95","5","",
"6442","光聖","38,455","14","1,384,212","36.00","36.10","35.75","36.10","+","0.20","36.00","2","36.10","1","",
"6443","元晶","4,538,186","1,187","32,647,078","7.06","7.45","6.91","7.15","+","0.25","7.15","7","7.19","4","",
"6449","鈺邦","46,358","51","1,430,787","31.15","31.15","30.65","30.80","-","0.05","30.75","4","30.85","3","16.04",
"6451","訊芯-KY","1,266,215","991","132,584,397","104.00","106.50","104.00","105.00","+","1.00","104.50","4","105.00","14","17.30",
"6456","GIS-KY","5,856,276","3,803","654,367,412","113.00","114.00","111.00","111.00","-","3.00","111.00","334","111.50","17","13.39",
"6477","安集","717,491","308","16,622,644","22.70","23.50","22.70","22.95","+","0.30","22.90","3","22.95","1","12.97",
"6525","捷敏-KY","268,205","218","17,174,475","64.50","64.60","63.70","63.80","-","0.50","63.80","17","64.10","2","12.39",
"6531","愛普","1,009,324","554","369,538,500","345.00","375.00","345.00","375.00","+","34.00","375.00","448","--","0","255.10",
"6533","晶心科","862,829","638","105,454,548","122.50","124.50","121.00","121.50","+","0.50","121.50","15","122.00","3","3,037.50",
"6552","易華電","2,968,033","1,872","184,515,755","60.20","62.80","60.10","62.30","+","1.90","62.20","15","62.30","8","15.23",
"6558","興能高","919,063","714","37,768,938","40.60","41.50","40.30","41.50","+","1.10","41.50","12","41.55","4","38.07",
"6573","虹揚-KY","1,213,150","480","22,704,934","17.65","19.25","17.25","19.25","+","1.75","19.15","19","19.25","34","",
"6579","研揚","123,105","94","8,240,740","66.50","67.90","65.50","67.60","+","1.20","67.60","6","67.80","5","35.03",
"6591","動力-KY","226,002","182","10,654,294","47.50","47.85","46.55","46.70","-","0.30","46.70","1","46.80","1","14.37",
"6668","中揚光","353,000","256","21,431,300","60.30","61.20","60.10","60.30","+","0.20","60.20","18","60.30","2","35.06",
"6669","緯穎","2,986,755","2,222","2,480,230,160","835.00","842.00","818.00","830.00"," ","0.00","830.00","8","831.00","20","22.54",
"6672","騰輝電子-KY","465,600","299","41,445,618","89.00","89.50","88.70","88.70","-","0.40","88.70","6","88.80","1","12.32",
"6674","鋐寶科技","49,000","31","1,228,600","24.75","25.40","24.60","25.25","+","0.35","25.20","1","25.30","1","360.71",
"6698","旭暉應材","111,000","78","5,645,900","50.60","51.60","50.60","50.80","+","0.20","50.70","5","50.80","4","23.20",
"6706","惠特","3,475,023","2,599","567,151,755","165.00","166.00","158.50","162.00","-","6.50","162.00","14","162.50","3","38.03",
"6715","嘉基","1,162,400","967","168,203,600","145.50","148.50","142.50","144.50","+","0.50","144.00","9","144.50","2","46.76",
"8011","台通","2,820,200","1,233","50,845,880","17.80","18.30","17.65","18.00","+","0.25","18.00","84","18.05","12","",
"8016","矽創","3,491,813","1,440","539,297,328","156.50","157.50","153.00","153.00","-","3.00","153.00","105","153.50","109","13.95",
"8021","尖點","1,163,852","468","25,395,900","21.90","22.05","21.70","21.70","-","0.10","21.70","48","21.75","12","17.09",
"8028","昇陽半導體","1,920,776","1,203","110,264,373","58.00","58.20","56.70","56.70","-","0.80","56.70","11","56.80","9","25.09",
"8039","台虹","1,853,230","1,077","88,073,945","47.90","47.90","47.15","47.15","-","0.65","47.15","69","47.45","1","13.67",
"8046","南電","11,456,991","6,365","793,300,271","69.10","70.00","68.50","69.60","+","0.20","69.50","50","69.60","124","42.70",
"8070","長華","90,309","65","14,852,176","165.50","165.50","164.00","164.50","-","0.50","164.00","10","165.00","2","11.67",
"8072","陞泰","1,546,916","1,062","47,978,724","30.30","32.40","29.10","29.50","-","0.60","29.50","5","29.55","11","",
"8081","致新","3,286,697","2,171","510,787,569","151.00","158.00","150.50","156.50","+","6.00","156.00","34","156.50","15","15.97",
"8101","華冠","508,000","89","1,903,770","3.87","3.89","3.69","3.80"," ","0.00","3.80","3","3.83","12","",
"8103","瀚荃","1,881,473","940","53,554,507","27.20","29.00","27.20","28.35","+","1.15","28.35","16","28.40","1","13.25",
"8104","錸寶","1,773,080","1,300","81,859,171","46.00","47.45","44.80","45.30","-","0.75","45.20","8","45.30","1","113.25",
"8105","凌巨","3,010,127","941","29,710,820","9.75","10.10","9.75","9.75","+","0.07","9.74","13","9.75","9","",
"8110","華東","843,550","302","8,445,356","10.10","10.10","9.95","9.97","-","0.03","9.97","3","9.98","16","34.38",
"8112","至上","10,893,070","2,100","322,045,967","29.50","29.65","29.40","29.60","+","0.15","29.60","391","29.65","120","8.34",
"8114","振樺電","98,809","95","8,311,482","83.40","85.20","83.00","85.20","+","2.20","84.50","1","85.20","3","17.57",
"8131","福懋科","445,250","264","16,713,862","37.55","37.70","37.40","37.45","+","0.10","37.45","32","37.65","11","11.89",
"8150","南茂","12,698,655","5,824","440,197,411","35.05","35.20","34.25","34.80","+","0.30","34.75","128","34.80","147","8.15",
"8163","達方","2,755,130","1,518","104,872,877","38.00","38.40","37.70","37.70","+","0.05","37.70","21","37.75","126","13.14",
"8201","無敵","4,946,508","415","45,458,865","8.53","9.27","8.53","9.27","+","0.84","9.27","17","--","0","",
"8210","勤誠","607,692","490","59,327,077","98.50","98.50","96.90","97.10","-","0.10","97.10","5","97.30","3","13.50",
"8213","志超","2,236,571","854","77,164,733","34.75","34.80","34.25","34.25","-","0.50","34.25","106","34.30","1","5.31",
"8215","明基材","5,158,121","2,119","95,579,134","19.00","19.00","18.25","18.35","-","0.75","18.35","34","18.40","81","26.99",
"8249","菱光","349,101","177","6,436,722","18.55","18.55","18.35","18.40","-","0.10","18.40","30","18.50","2","17.36",
"8261","富鼎","1,720,427","907","48,472,906","27.60","28.80","27.60","28.15","+","0.60","28.10","3","28.20","10","38.04",
"8271","宇瞻","890,682","557","42,522,255","47.80","48.20","47.50","47.55","-","0.15","47.55","4","47.60","1","10.34",
"9912","偉聯","16,490","20","112,557","6.86","6.89","6.81","6.89","+","0.03","6.81","8","6.89","1","",

