"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2377","微星","6,239,931","3,014","645,291,921","105.00","105.50","102.50","102.50","-","2.00","102.50","26","103.00","2","15.65",
"2379","瑞昱","5,569,609","4,047","1,641,505,046","290.00","298.00","289.00","295.00","+","9.00","295.00","281","295.50","29","21.28",
"2380","虹光","221,103","107","807,369","3.60","3.70","3.58","3.70","+","0.06","3.70","9","3.71","8","",
"2382","廣達","19,301,217","8,364","1,353,174,083","70.60","71.60","69.60","69.60","+","0.80","69.60","336","69.80","3","17.44",
"2383","台光電","5,472,173","3,316","881,990,300","163.50","164.00","159.00","161.00","-","1.50","160.50","23","161.00","62","14.72",
"2385","群光","5,464,271","3,300","458,798,419","83.80","85.50","83.30","83.70","+","0.20","83.70","8","83.80","113","13.79",
"2387","精元","14,199,474","7,220","547,695,883","39.50","40.30","37.50","37.85","-","1.60","37.80","5","37.85","8","344.09",
"2388","威盛","7,281,555","1,107","195,343,166","27.30","28.20","26.60","26.60","-","0.80","26.55","248","26.60","7,741","380.00",
"2390","云辰","41,488,660","17,192","756,990,033","18.90","19.20","17.55","17.65"," ","0.00","17.60","209","17.65","1","",
"2392","正崴","4,098,928","1,985","157,188,816","38.00","38.75","37.75","38.45","+","0.50","38.40","41","38.45","10","9.76",
"2393","億光","7,092,613","3,908","229,530,150","33.50","33.50","32.00","32.00","-","1.75","32.00","161","32.05","6","17.88",
"2395","研華","1,260,156","671","373,668,864","297.00","300.00","295.50","295.50","-","3.00","295.50","18","296.00","1","29.46",
"2397","友通","23,105","22","1,786,863","77.60","77.70","76.50","77.10","-","0.40","76.90","1","77.20","1","14.33",
"2399","映泰","606,000","242","6,002,000","9.85","9.99","9.85","9.88"," ","0.00","9.88","1","9.90","7","",
"2401","凌陽","7,481,034","2,239","88,915,243","11.65","12.10","11.65","11.95","+","0.35","11.90","189","11.95","133","",
"2402","毅嘉","2,058,624","716","27,708,470","13.60","13.75","13.20","13.20","-","0.40","13.20","28","13.30","126","16.92",
"2404","漢唐","3,510,788","2,376","726,071,704","211.50","211.50","205.00","205.50","-","4.50","205.50","11","206.00","4","13.76",
"2405","浩鑫","823,000","314","7,757,860","9.38","9.49","9.37","9.37","-","0.01","9.37","11","9.38","2","",
"2406","國碩","14,026,592","3,342","129,959,155","8.94","9.63","8.88","9.18","+","0.27","9.18","7","9.20","1","",
"2408","南亞科","23,045,854","9,162","1,382,848,940","60.10","60.50","59.80","59.80","-","0.60","59.80","441","59.90","11","22.40",
"2409","友達","273,874,924","39,403","2,600,641,543","9.40","9.77","9.25","9.25"," ","0.00","9.25","4,298","9.27","4","",
"2412","中華電","13,986,807","3,010","1,582,151,691","113.00","113.50","112.50","113.00","+","0.50","113.00","3,762","113.50","3,184","26.78",
"2413","環科","217,000","83","2,666,450","12.15","12.50","12.15","12.25","+","0.05","12.25","12","12.30","15","",
"2414","精技","328,052","183","8,427,575","25.75","25.90","25.60","25.60","-","0.20","25.55","39","25.60","10","13.47",
"2415","錩新","165,551","93","2,809,160","16.95","17.10","16.90","17.00","+","0.15","16.95","2","17.00","21","21.25",
"2417","圓剛","8,070,477","3,699","210,183,784","26.90","26.90","25.60","26.40","-","0.50","26.40","93","26.45","143","82.50",
"2419","仲琦","2,241,752","1,132","51,291,979","22.90","23.05","22.60","22.95","+","0.45","22.90","29","22.95","24","42.50",
"2420","新巨","96,270","81","3,212,503","33.35","33.55","33.25","33.35"," ","0.00","33.35","28","33.40","1","11.19",
"2421","建準","2,869,518","1,644","146,445,223","51.80","51.80","50.20","51.60","+","0.10","51.60","1,178","51.70","40","17.79",
"2423","固緯","243,355","161","6,023,439","25.05","25.05","24.60","24.80","-","0.10","24.75","1","24.80","2","11.87",
"2424","隴華","32,050","28","740,525","22.00","23.55","22.00","23.55","+","2.10","23.55","8","--","0","",
"2425","承啟","310,756","184","7,643,972","24.90","24.95","24.35","24.65","-","0.20","24.65","1","24.70","6","26.51",
