華航
不
空服員
飛機
沒有
乘客
服務
可以
航空公司
態度
知道
行李
不要
航空
公斤
台灣
好
服務人員
空姐
等
小姐
搭乘
提供
座位
班機
規定
調整
這種
之後
中華
問題
個
前面
地勤
選擇
旅客
就算
登機
差
未
當天
告知
怎麼
經理
椅子
空服人員
壓到
個人
一
王
臺北
水杯
媽媽
發現
座椅
詢問
這麼
值班
不會
直接
啊
下
客服
居然
笑
權力
督導
先
第一次
空
美的
任何
幫忙
妳
上機
造成
機票
願意
舒服
香港
位子
出來
護照
放
洗
航班
日
里斯本
話
發生
非常
使用
而
商務艙
毛毯
往後
那個
躺
開始
不想
後面
降落
問
哪位
小時
月
自己
權利
卡
應該
商務
倉
朋友
無
國家
不行
機場
餐點
聽障
回答
上映
原本
賣弄
這些
一臉
國際
錢
改變
狀況
過了
前一天
選位
心情
好像
上班
這位
別人
品質
旅行
人員
桌上
行程
中間
拿
轉機
愉快
服務態度
空間
飛
很差
天
改
自行
客人
準備
年
同時
線上
經驗
教育
最大
飛往
大約
餐盤
達
壞
方便
既
聽聞
初
搭
嗯
經濟艙
送
過
乘坐
客氣
沒想到
從頭到尾
無言
第二
椅背
有趣
當
回應
事情
分鐘
不好
這時候
竟然
找
反應
前方
不能
代表
低
糟糕
跑
壓
訓練
布
預辦
一對
確認
友善
優先
教導
電影
更改
里程
多
寫
旁邊
奧克蘭
當下
到底
日本
起飛
入關
空服
聊
東西
姊
給
時間
看到
印象
不熟
睡覺
或者
通知
電話
話語
很多
溫度
共用
再也
家人
中文
無法
三
下麵
沒搭過
還站
說不說
含
整台
道歉
不到
收走
粗魯
不耐
發出
丟到
衛生紙
聽到
當時
收起
桌子
老闆
老牌
排隊
問的
永遠
到布
超級
過去
不見
決定
現實
還得
想要
劃位
魯莽
道理
何況
不耐煩
坐過
通融
不讓
放置
他過
維也納
對待
前心裡
改善
航站
說出
加強
發脾氣
爛爛
片子
操作
別說
等待
即可
機器
大
母湯
放行
經營
輕描淡寫
花錢
一片
螢幕
主管
放到
值務
叫
兩個
官僚
聽
一家
中
餐桌
請人
相關
乾脆
託運
=---
受教
關島
物
並對
傲慢
訂位
票
事後
粵語
倒楣
號的
開達
疑問
情形
問櫃台
互動
幾位
虛滿
誤解
選
是否是
基本上
餐畢
滿耶
所謂
回去
積極主動
同一
建議
無人
八人分
覺的
剩下
做線
從來
